n,noiseParam,AE_mean,AE_sd
4,0.25,26547934735140477e56,8395194093654287e58
4,0.5,4153091094468.858,131332225439539.44
4,1,31923385340948054e3,10095060830061059e5
4,2,188477.0681895344,5955606.944021335
4,4,1.3650873294634784,3.91023718072133
4,8,0.7994329273289149,0.8672523710425339
4,16,0.5815466223586511,1.356498470009389
4,32,0.36215636198430623,0.3196433397355052
4,64,0.2741692150095203,0.29878124580020016
4,128,0.17923301521818288,0.15794308380945238
4,256,0.13244208613020592,0.1199096765119768
4,512,0.0894965995366447,0.08847239775291266
4,1024,0.06621526720831859,0.07398566614811453
4,2048,0.047879266689145016,0.04431428819726589
4,4096,0.031072072311823514,0.029131690350629284
4,8192,0.022798386895593596,0.02063451799086222
4,16384,0.015336499573314715,0.013481206241709034
4,32768,0.011498346550961693,0.01118850836586938
4,65536,0.007909023941960986,0.006947306102064814
8,0.25,7479.166464163943,139457.89943527392
8,0.5,14.502398035464065,117.79676304203088
8,1,3.1337765895661858,33.21453929953775
8,2,0.9555418930927978,0.9832123347488693
8,4,0.6492346153451207,0.6031343739827784
8,8,0.48389606435002325,0.41128507492954136
8,16,0.3304333273422453,0.2653843595599417
8,32,0.23607485502470515,0.19357850621634784
8,64,0.16937813908366417,0.1320831342955438
8,128,0.11888086582912231,0.09251448501594063
8,256,0.08385987519793321,0.06809466082881666
8,512,0.05761997412003883,0.04569128455746653
8,1024,0.04421467681375937,0.03450874584135103
8,2048,0.03166313336250184,0.02553228440657417
8,4096,0.020378651206585066,0.01640234867113813
8,8192,0.015499681818926938,0.012329949175964363
8,16384,0.010383541711756743,0.008557182212854954
8,32768,0.007231132040219119,0.0057329793226847375
8,65536,0.005270133715710785,0.004400880424862558
16,0.25,13.210096953562203,236.33906923610718
16,0.5,1.5688500195186508,2.212050316499155
16,1,0.8565282508298977,0.8300598570502998
16,2,0.606013662624253,0.5041846927115329
16,4,0.4365947257007745,0.34731203781455317
16,8,0.32053719745725584,0.25741322683462786
16,16,0.24024391117854293,0.18782851467072414
16,32,0.16935507385508583,0.13452135520097747
16,64,0.12220851172311578,0.09450449890351562
16,128,0.0796407427885667,0.06291869938495964
16,256,0.058961092265131396,0.044608131210369044
16,512,0.039908520589857055,0.03062003543461906
16,1024,0.030183117016240896,0.024108706205731394
16,2048,0.02185760542078651,0.01702276778734616
16,4096,0.014015885667621398,0.010908824896863926
16,8192,0.01077895617666518,0.008473321445737488
16,16384,0.007580223942854469,0.005917920049260787
16,32768,0.0049196868068678,0.0038657143265317536
16,65536,0.003775232179626585,0.0029626419233872883
32,0.25,1.3923961305997643,1.5670447892246908
32,0.5,0.8734005914224586,0.7434854153952338
32,1,0.5666086448654664,0.45041655791884666
32,2,0.40010598478971426,0.32085648741443573
32,4,0.30091636744295575,0.23499399962190662
32,8,0.22014118942583957,0.16846117330843147
32,16,0.1669719504615729,0.13186832970256238
32,32,0.11767655769477053,0.0898661495660774
32,64,0.08625725060731837,0.06699026714182067
32,128,0.05655425112928277,0.04395747307697305
32,256,0.040493454539286156,0.03142482197838412
32,512,0.028580647704022025,0.022748401897458026
32,1024,0.020530069985724316,0.016396268407387317
32,2048,0.014208813550606459,0.011160626851780176
32,4096,0.00995239856908852,0.0077094048640925315
32,8192,0.0075889464104421005,0.0058882401146692475
32,16384,0.005347514265063533,0.004048672860514573
32,32768,0.003579272258229035,0.002769113123071995
32,65536,0.0026910008551849973,0.0020835603142389755
64,0.25,0.9083830715158798,0.7486283728681739
64,0.5,0.6415293906233908,0.48434310912649164
64,1,0.4118802457811849,0.3327927580992963
64,2,0.28915881156994555,0.22851911350366455
64,4,0.20496909695972332,0.1650359031850099
64,8,0.1540584914088456,0.1189541637332814
64,16,0.1168160552896572,0.08717713392945457
64,32,0.08236365657606341,0.06302237235608385
64,64,0.06057647182290069,0.0461355464654261
64,128,0.042074458130752224,0.031175058083959855
64,256,0.029325286021909966,0.022411663955475905
64,512,0.02007248012806385,0.0157047471518882
64,1024,0.01520120556419008,0.011520144273362705
64,2048,0.01060174897146146,0.00792759219938474
64,4096,0.007387260865174955,0.005554729984887039
64,8192,0.005311123537672915,0.00404495396788258
64,16384,0.0037590330350481004,0.002832143515757795
64,32768,0.002546216026841557,0.0020414515232931203
64,65536,0.0018842075125543797,0.0014322124019345288
128,0.25,0.6825439672223876,0.5091330400726506
128,0.5,0.4835030272839583,0.3385935728962009
128,1,0.3318101481893479,0.24098996028954248
128,2,0.2126395814109256,0.16660792385335074
128,4,0.14643008734846488,0.1153171595990218
128,8,0.1061684139874099,0.08115165676615636
128,16,0.08121776003677418,0.06130612000024688
128,32,0.05876826254725179,0.04508449992252777
128,64,0.042392889185507064,0.03393259838616292
128,128,0.029653805606932038,0.022196342730230384
128,256,0.02053687622407883,0.016172997820322083
128,512,0.014399852709242517,0.011096994009949375
128,1024,0.010655538884026365,0.008267042579237304
128,2048,0.007389831220501817,0.005721153156539653
128,4096,0.005158876222363111,0.00398687817967344
128,8192,0.003696227148047181,0.002881295125590928
128,16384,0.0026048651516978986,0.0019321500574918302
128,32768,0.0017380668757800426,0.0013639689790701712
128,65536,0.001313078871741568,0.0010288630766027414
256,0.25,0.5572776492341928,0.36593187310330266
256,0.5,0.420667305951149,0.2683789396908208
256,1,0.28102205795101737,0.187309094408293
256,2,0.1662432792477806,0.12017691859982704
256,4,0.10982059553569137,0.08105162398100772
256,8,0.08042490311991618,0.06019561077863942
256,16,0.059326845747552356,0.04449912558514262
256,32,0.041931014743570375,0.0328760191497952
256,64,0.030672457979430058,0.02292815323922872
256,128,0.02139506100739898,0.015523166245888093
256,256,0.015151013596423412,0.011720925872142594
256,512,0.01020967725761228,0.007970363821326125
256,1024,0.007219931823616864,0.0055597601610053666
256,2048,0.005182899398639811,0.0038418334127566117
256,4096,0.003676403174237545,0.002721258810164641
256,8192,0.0026368633510324307,0.0020149518891990135
256,16384,0.0018757494396063974,0.0014140650876438318
256,32768,0.0012855141726847142,0.0010099294794157603
256,65536,8.921968557358957e-4,7.141621488968721e-4
